,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
PAN3,-0.6764737445595181,4.243237996827402,15.8191129652409,0.0010831307558769043,0.006498784535261426,PAN3,T_cells_CD4
TAPBPL,-0.929169612815329,4.230609035566576,15.802982226130002,0.001087761080536088,0.006523050014206174,TAPBPL,T_cells_CD4
IFT88,0.8413559687216658,4.066325784636827,15.790720914815493,0.0010912956492287488,0.006535604672102714,IFT88,T_cells_CD4
USP51,-1.2256629119659925,1.909612010946373,15.790081906782113,0.001091480211545844,0.006535604672102714,USP51,T_cells_CD4
BBS2,-0.9954410309307338,3.1655489762811646,15.789252278957298,0.0010917198824865809,0.006535604672102714,BBS2,T_cells_CD4
NTNG2,0.9479242347260523,2.709087742029721,15.7850666263182,0.0010929299815733487,0.006535604672102714,NTNG2,T_cells_CD4
H3F3B,0.537312989001477,10.563888032404208,15.784117186080245,0.0010932046816680713,0.006535604672102714,H3F3B,T_cells_CD4
NAXE,0.542460587137312,5.355330190725415,15.783518673311741,0.001093377888540454,0.006535604672102714,NAXE,T_cells_CD4
CUL5,-0.5204792259514431,5.2121446417246275,15.775824237504509,0.001095607387028082,0.0065454161125188155,CUL5,T_cells_CD4
MIS12,-0.566742438760273,4.721841048881621,15.77109404583031,0.0010969805312433893,0.006550103708550925,MIS12,T_cells_CD4
PLEKHA2,-0.6611471066167794,4.969626292975302,15.768354646215517,0.0010977766503900727,0.006551342691067833,PLEKHA2,T_cells_CD4
CYB5D2,-0.8806986250258731,3.548453432729313,15.764236068400853,0.0010989748125067582,0.0065549783832798605,CYB5D2,T_cells_CD4
AL365361.1,-0.7620611782780276,4.436568515238405,15.756673309269827,0.0011011787932403423,0.006564606303569903,AL365361.1,T_cells_CD4
P3H1,0.6763794077997963,3.228010881111034,15.75414784724082,0.0011019158891679883,0.006564860735697369,P3H1,T_cells_CD4
AC127521.1,-1.0690626465332669,2.596042747832242,15.752486298471439,0.0011024011424095581,0.006564860735697369,AC127521.1,T_cells_CD4
CFAP97,-0.5033508608649434,6.126529926719581,15.733717725002457,0.0011078992807234313,0.006594074328583846,CFAP97,T_cells_CD4
EXOC6B,0.8226175100519649,2.6129330211252153,15.720156732263217,0.0011118911717891706,0.0066142964949297,EXOC6B,T_cells_CD4
BTG3,0.6980737768635829,5.188992938844289,15.713674582419962,0.001113805033049228,0.00662214210354589,BTG3,T_cells_CD4
SFMBT1,-0.6494500642533728,3.8912589665628725,15.711590543136083,0.001114421138230482,0.006622267628673392,SFMBT1,T_cells_CD4
ITGB2-AS1,-1.054800720026945,3.5953791593057978,15.708031830311542,0.0011154740919830388,0.006624987536697558,ITGB2-AS1,T_cells_CD4
EGLN1,-0.5387506702384993,4.722176533443381,15.703618864000111,0.001116781364241817,0.006629214178139425,EGLN1,T_cells_CD4
SLC9A3R2,1.2452513197639998,1.990331542348331,15.695963478460548,0.0011190532606635023,0.006639159270354361,SLC9A3R2,T_cells_CD4
FAHD2CP,0.91423747653661,2.0943194479039944,15.692567579735966,0.0011200627365948292,0.006641608022536201,FAHD2CP,T_cells_CD4
HK2,-1.2923924894386583,2.3389974149962836,15.67928553900689,0.00112402089331847,0.00666152957541777,HK2,T_cells_CD4
FHOD1,0.7047751816789877,3.091064709375535,15.671491878960811,0.0011263508242804862,0.006671785350847159,FHOD1,T_cells_CD4
SYNE3,-0.9473965652577092,3.7518904138130296,15.658690361822948,0.0011301897174073225,0.006688616189573767,SYNE3,T_cells_CD4
HPCAL1,0.5691938332632789,5.58322373954756,15.658009972162802,0.0011303941646530328,0.006688616189573767,HPCAL1,T_cells_CD4
ALG8,-0.7196622439305398,3.9845970906698565,15.654542783499544,0.0011314366539312262,0.006691227395459377,ALG8,T_cells_CD4
ODF3B,-1.2740051068560296,2.830303722374947,15.649264304448,0.0011330258353953956,0.006697067205496948,ODF3B,T_cells_CD4
CXCL16,1.5419103758403372,2.1028141831366116,15.636456783519625,0.0011368922654293873,0.00671635398844431,CXCL16,T_cells_CD4
MADD,-0.7705288021253152,3.830546475801293,15.631072916104683,0.0011385220364444944,0.006722413934019747,MADD,T_cells_CD4
PER2,-1.3791801427040047,1.9672128766093568,15.627461251291964,0.0011396168166684377,0.006725310270158914,PER2,T_cells_CD4
LIN7B,0.8878613245776161,3.5207868885495164,15.616041545527922,0.0011430862313423632,0.006740971766283699,LIN7B,T_cells_CD4
LRRC28,0.8258158841277663,3.794081069325249,15.61474133725356,0.0011434820031216194,0.006740971766283699,LRRC28,T_cells_CD4
TELO2,0.926978235315671,2.273431895711167,15.600182401093443,0.0011479242027122318,0.006763576694646448,TELO2,T_cells_CD4
ACTR1A,0.5618453330520102,4.595067816173782,15.586737487732467,0.0011520438182637351,0.0067840625644640514,ACTR1A,T_cells_CD4
EMC9,0.7306046542997436,4.211584306902184,15.58431020825312,0.001152789332497805,0.0067840625644640514,EMC9,T_cells_CD4
ERVK13-1,0.7381899506638,3.3092020771346777,15.582877327910104,0.0011532296830158119,0.0067840625644640514,ERVK13-1,T_cells_CD4
ATRIP,0.8561265550009148,2.8580835538872473,15.577266866843415,0.0011549557110396504,0.006787144826713205,ATRIP,T_cells_CD4
GPM6A,-1.5287789122434818,3.411432755766781,15.57236562477963,0.001156465940789628,0.006787144826713205,GPM6A,T_cells_CD4
WDR33,-0.4092013361216195,5.981325132663482,15.572153657124332,0.0011565313051375345,0.006787144826713205,WDR33,T_cells_CD4
ADO,0.9004820926798406,3.206040803685643,15.571527135057929,0.0011567245298043723,0.006787144826713205,ADO,T_cells_CD4
BBS7,0.8404225958614561,3.0523150506719605,15.571273797074584,0.0011568026717228167,0.006787144826713205,BBS7,T_cells_CD4
UROD,0.5109111476500376,4.371671152819836,15.567582445150656,0.001157941943479724,0.006790249647486475,UROD,T_cells_CD4
EFNA3,1.288082995092883,1.6038024671281754,15.563118628083862,0.001159321317096503,0.006794758430376028,EFNA3,T_cells_CD4
CPLANE1,-1.3393902532949502,2.680272223599861,15.559563880384816,0.0011604211053241177,0.006797624685398648,CPLANE1,T_cells_CD4
KLHDC4,0.631209329993666,4.566730064863306,15.553285386541184,0.0011623664628972058,0.0068054385755107315,KLHDC4,T_cells_CD4
RHOBTB3,1.3963183914402084,3.3593494825680956,15.540697294825987,0.001166277926609064,0.006824749381261243,RHOBTB3,T_cells_CD4
LINC00324,-0.6876577848311725,4.839718541574385,15.527108658964938,0.0011705169891252467,0.006845955905919073,LINC00324,T_cells_CD4
SMIM8,0.6618651616336604,4.68459860698816,15.507648913000017,0.0011766179352971655,0.006878023960009166,SMIM8,T_cells_CD4
PEX5,0.8827770853330996,2.41553564926781,15.49976881437008,0.001179098689123877,0.006888907301810369,PEX5,T_cells_CD4
CHEK1,1.3554697676116383,1.712613078056039,15.493546667511376,0.001181061675117616,0.006896755741898776,CHEK1,T_cells_CD4
DYNLRB1,0.487489926216584,7.567844967325498,15.483372102682347,0.001184279546341539,0.006910817403432294,DYNLRB1,T_cells_CD4
MSL3,-0.6162520449987322,6.0277944323847885,15.482008516740112,0.0011847115548741076,0.006910817403432294,MSL3,T_cells_CD4
PRPF38B,-0.5192283200233836,7.084809606412025,15.460828958737535,0.0011914445351831437,0.006946452423566469,PRPF38B,T_cells_CD4
AC124319.2,-1.0296549085141307,4.061177159880441,15.454321623786122,0.0011935218921990994,0.00695492076449004,AC124319.2,T_cells_CD4
